Category,Brand,Vendor
baked,baked Brand A,baked Vendor A
beverages,beverages Brand A,beverages Vendor A
dairy,dairy Brand A,dairy Vendor A
eggs,eggs Brand A,eggs Vendor A
fish,fish Brand A,fish Vendor A
grocery,grocery Brand A,grocery Vendor A
meat,meat Brand A,meat Vendor A
poultry,poultry Brand A,poultry Vendor A
produce,produce Brand A,produce Vendor A
teacoffee,teacoffee Brand A,teacoffee Vendor A
baked,baked Brand B,baked Vendor B
beverages,beverages Brand B,beverages Vendor B
fish,fish Brand B,fish Vendor B
grocery,grocery Brand B,grocery Vendor B
meat,meat Brand B,meat Vendor B
poultry,poultry Brand B,poultry Vendor B
produce,produce Brand B,produce Vendor B
teacoffee,teacoffee Brand B,teacoffee Vendor B
baked,baked Brand C,baked Vendor C
beverages,beverages Brand C,beverages Vendor C
grocery,grocery Brand C,grocery Vendor C
poultry,poultry Brand C,poultry Vendor C
produce,produce Brand C,produce Vendor C
teacoffee,teacoffee Brand C,teacoffee Vendor C
baked,baked Brand D,baked Vendor D
beverages,beverages Brand D,beverages Vendor D
grocery,grocery Brand D,grocery Vendor D
baked,baked Brand E,baked Vendor E
