Description,Category,Local,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost
Soda ,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,16.8
Soda ,beverages,no,no,,no,,na,,no,,266.25
Soda ,beverages,no,no,,no,,na,,no,,114.3
Soda ,beverages,no,no,,no,,na,,no,,17.35
Soda ,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,109.115
Soda,beverages,no,no,,no,,na,,no,,17.35
12/16.9oz Peach White,teacoffee,no,yes,Fair Trade Certified by Fair Trade USA,yes,USDA Certified Organic,na,,no,,183
Vitamin Water ,beverages,no,no,,no,,na,,no,,106
Powerade Mt Blast,beverages,no,no,,no,,na,,no,,145
Soda ,beverages,no,no,,no,,na,,no,,17.35
Soda ,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,34.7
Soda ,beverages,no,no,,no,,na,,yes,Contains high fructose corn syrup,17.35
Pineapple Juice 100% Aseptic,beverages,no,no,,no,,na,,no,,27.57
Bagel,baked,no,no,,no,,na,,no,,22.09
Tonic Water ,beverages,no,no,,no,,na,,no,,10
Soda ,beverages,no,no,,no,,na,,no,,17.35
English Muffin,baked,no,no,,no,,na,,no,,18.3
Cracker,grocery,no,no,,no,,na,,no,,21.24
Raspberry Lemonade Concentrate 5+1,beverages,no,no,,no,,na,,no,,50.58
Cereal,grocery,no,no,,no,,na,,no,,21.24
Cracker,grocery,no,no,,no,,na,,no,,21.01
Lemonade Base 5+1,beverages,no,no,,no,,na,,yes,,41.23
Crakers ,grocery,no,no,,no,,na,,no,,14.34
Applesauce,grocery,no,no,,no,,na,,no,,34.06
Granulated Garlic ,grocery,no,no,,no,,na,,no,,72.15
Chai liquid concentrate ,beverages,no,no,,no,,na,,no,,96.7
Pancake Mix,baked,no,no,,no,,na,,no,,26.58
Corn Starch ,grocery,no,no,,no,,na,,no,,24.92
Beans Kidney ,produce,no,no,,no,,na,,no,,27.73
Muffin Mix,baked,no,no,,no,,na,,no,,47.96
String Cheese,dairy,no,no,,no,,no,,no,,39.37
Pasta ,grocery,no,no,,no,,na,,no,,36.92
Ground Organic Serena Blend ,teacoffee,no,no,,yes,,na,,no,,331.82
Chicken,poultry,no,no,,no,,no,,no,,29.52
